iteracion,COMPRAR_100,COMPRAR_75,COMPRAR_50,COMPRAR_25,COMPRAR_10,MANTENER,VENDER_10,VENDER_25,VENDER_50,VENDER_75,VENDER_100
151,0.084157,0.077758,0.188699,0.282466,0.232042,0.157063,0.317871,0.389019,0.252785,0.217278,0.238004
152,0.084157,0.077758,0.188699,0.282466,0.232042,0.157063,0.317871,0.389019,0.252785,0.217278,0.276417
153,0.084157,0.077758,0.188699,0.282466,0.232042,0.157063,0.317871,0.389019,0.252785,0.217278,0.29867
154,0.084157,0.077758,0.188699,0.282466,0.232042,0.157063,0.317871,0.389019,0.252785,0.217278,0.281038
155,0.084157,0.077758,0.188699,0.282466,0.232042,0.157063,0.298699,0.389019,0.252785,0.217278,0.281038
156,0.084157,0.077758,0.193556,0.282466,0.232042,0.157063,0.298699,0.389019,0.252785,0.217278,0.281038
157,0.084157,0.077758,0.193556,0.282466,0.232042,0.157063,0.298699,0.381756,0.252785,0.217278,0.281038
158,0.084157,0.077758,0.193556,0.282466,0.232042,0.157063,0.298699,0.381756,0.252785,0.223392,0.281038
159,0.155012,0.077758,0.193556,0.282466,0.232042,0.157063,0.298699,0.381756,0.252785,0.223392,0.281038
160,0.153941,0.077758,0.193556,0.282466,0.232042,0.157063,0.298699,0.381756,0.252785,0.223392,0.281038
161,0.153941,0.09948,0.193556,0.282466,0.232042,0.157063,0.298699,0.381756,0.252785,0.223392,0.281038
162,0.153941,0.09948,0.193556,0.282466,0.2348,0.157063,0.298699,0.381756,0.252785,0.223392,0.281038
163,0.153941,0.09948,0.193556,0.242457,0.2348,0.157063,0.298699,0.381756,0.252785,0.223392,0.281038
164,0.153941,0.09948,0.193556,0.242457,0.2348,0.157063,0.298699,0.381756,0.252785,0.223392,0.267881
165,0.153941,0.09948,0.181612,0.242457,0.2348,0.157063,0.298699,0.381756,0.252785,0.223392,0.267881
166,0.153941,0.09948,0.181612,0.242457,0.2348,0.173004,0.298699,0.381756,0.252785,0.223392,0.267881
167,0.153941,0.09948,0.181612,0.242457,0.2348,0.173004,0.298699,0.434175,0.252785,0.223392,0.267881
168,0.153941,0.09948,0.181612,0.242457,0.2348,0.173004,0.298699,0.415835,0.252785,0.223392,0.267881
169,0.153941,0.09948,0.181612,0.242457,0.2348,0.173004,0.298699,0.398508,0.252785,0.223392,0.267881
170,0.153941,0.09948,0.181612,0.242457,0.2348,0.173004,0.298699,0.398508,0.280913,0.223392,0.267881
171,0.153941,0.09948,0.181612,0.242457,0.2348,0.173004,0.298699,0.398508,0.294074,0.223392,0.267881
172,0.153941,0.09948,0.181612,0.242457,0.2348,0.173004,0.298699,0.398508,0.294074,0.208499,0.267881
173,0.142096,0.09948,0.181612,0.242457,0.2348,0.173004,0.298699,0.398508,0.294074,0.208499,0.267881
174,0.142096,0.09948,0.181612,0.242457,0.2348,0.173004,0.294779,0.398508,0.294074,0.208499,0.267881
175,0.142096,0.09948,0.181612,0.242457,0.2348,0.173004,0.294779,0.398508,0.30532,0.208499,0.267881
176,0.142096,0.1249,0.181612,0.242457,0.2348,0.173004,0.294779,0.398508,0.30532,0.208499,0.267881
177,0.142096,0.1249,0.181612,0.242457,0.222177,0.173004,0.294779,0.398508,0.30532,0.208499,0.267881
178,0.142096,0.1249,0.181612,0.242457,0.222177,0.156843,0.294779,0.398508,0.30532,0.208499,0.267881
179,0.142096,0.1249,0.181612,0.242457,0.222177,0.156843,0.294779,0.398508,0.308733,0.208499,0.267881
180,0.142096,0.1249,0.181612,0.242457,0.222177,0.156843,0.294779,0.403816,0.308733,0.208499,0.267881
181,0.142096,0.107373,0.181612,0.242457,0.222177,0.156843,0.294779,0.403816,0.308733,0.208499,0.267881
182,0.142096,0.107373,0.181612,0.242457,0.222177,0.156843,0.279264,0.403816,0.308733,0.208499,0.267881
183,0.142096,0.107373,0.181612,0.242457,0.222177,0.156843,0.279264,0.403816,0.308733,0.208499,0.274142
184,0.142096,0.107373,0.181612,0.242457,0.222177,0.156843,0.279264,0.388397,0.308733,0.208499,0.274142
185,0.142096,0.107373,0.181612,0.242457,0.222177,0.156843,0.279264,0.388397,0.318123,0.208499,0.274142
186,0.142096,0.107373,0.16898,0.242457,0.222177,0.156843,0.279264,0.388397,0.318123,0.208499,0.274142
187,0.142096,0.107373,0.16898,0.242457,0.222177,0.156843,0.279264,0.388397,0.318123,0.171162,0.274142
188,0.142096,0.107373,0.16898,0.242457,0.222177,0.156843,0.279264,0.388397,0.302974,0.171162,0.274142
189,0.130705,0.107373,0.16898,0.242457,0.222177,0.156843,0.279264,0.388397,0.302974,0.171162,0.274142
190,0.130705,0.107373,0.16898,0.242457,0.222177,0.156843,0.279264,0.388397,0.302974,0.171162,0.291869
191,0.130705,0.107373,0.16898,0.242457,0.222177,0.156843,0.279264,0.388397,0.302974,0.171162,0.289793
192,0.130705,0.107373,0.16898,0.242457,0.233758,0.156843,0.279264,0.388397,0.302974,0.171162,0.289793
193,0.130705,0.107373,0.16898,0.285897,0.233758,0.156843,0.279264,0.388397,0.302974,0.171162,0.289793
194,0.130705,0.107373,0.16898,0.273117,0.233758,0.156843,0.279264,0.388397,0.302974,0.171162,0.289793
195,0.130705,0.107373,0.16898,0.273117,0.233758,0.156843,0.279264,0.370295,0.302974,0.171162,0.289793
196,0.130705,0.107373,0.16898,0.273117,0.233758,0.211754,0.279264,0.370295,0.302974,0.171162,0.289793
197,0.130705,0.107373,0.16898,0.273117,0.233758,0.201509,0.279264,0.370295,0.302974,0.171162,0.289793
198,0.130705,0.107373,0.16898,0.273117,0.233758,0.201509,0.265301,0.370295,0.302974,0.171162,0.289793
199,0.130705,0.107373,0.16898,0.273117,0.224035,0.201509,0.265301,0.370295,0.302974,0.171162,0.289793
200,0.130705,0.107373,0.16898,0.243334,0.224035,0.201509,0.265301,0.370295,0.302974,0.171162,0.289793
201,0.130705,0.107373,0.16898,0.243334,0.224035,0.201509,0.265301,0.370295,0.302974,0.171162,0.296897
202,0.130705,0.107373,0.16898,0.243334,0.224035,0.212972,0.265301,0.370295,0.302974,0.171162,0.296897
203,0.130705,0.107373,0.16898,0.243334,0.224035,0.212972,0.265301,0.370295,0.29188,0.171162,0.296897
204,0.130705,0.143253,0.16898,0.243334,0.224035,0.212972,0.265301,0.370295,0.29188,0.171162,0.296897
205,0.130705,0.140346,0.16898,0.243334,0.224035,0.212972,0.265301,0.370295,0.29188,0.171162,0.296897
206,0.130705,0.140346,0.172175,0.243334,0.224035,0.212972,0.265301,0.370295,0.29188,0.171162,0.296897
207,0.130705,0.140346,0.172175,0.243334,0.224035,0.212972,0.265301,0.370295,0.29188,0.171162,0.306238
208,0.130705,0.140346,0.172175,0.243334,0.224035,0.170336,0.265301,0.370295,0.29188,0.171162,0.306238
209,0.165585,0.140346,0.172175,0.243334,0.224035,0.170336,0.265301,0.370295,0.29188,0.171162,0.306238
210,0.200432,0.140346,0.172175,0.243334,0.224035,0.170336,0.265301,0.370295,0.29188,0.171162,0.306238
211,0.188642,0.140346,0.172175,0.243334,0.224035,0.170336,0.265301,0.370295,0.29188,0.171162,0.306238
212,0.188642,0.140346,0.172175,0.243334,0.224035,0.170336,0.265301,0.370295,0.29188,0.171162,0.302325
213,0.188642,0.140346,0.172175,0.243334,0.224035,0.170336,0.265301,0.337851,0.29188,0.171162,0.302325
214,0.188642,0.140346,0.172175,0.243334,0.224035,0.170336,0.25226,0.337851,0.29188,0.171162,0.302325
215,0.188642,0.140346,0.172175,0.243334,0.218086,0.170336,0.25226,0.337851,0.29188,0.171162,0.302325
216,0.188642,0.140346,0.167444,0.243334,0.218086,0.170336,0.25226,0.337851,0.29188,0.171162,0.302325
217,0.188642,0.140346,0.167444,0.243334,0.218086,0.170336,0.25226,0.337851,0.299319,0.171162,0.302325
218,0.188642,0.140346,0.167444,0.243334,0.218086,0.170336,0.25226,0.337851,0.299319,0.161213,0.302325
219,0.188642,0.213738,0.167444,0.243334,0.218086,0.170336,0.25226,0.337851,0.299319,0.161213,0.302325
220,0.188642,0.1876,0.167444,0.243334,0.218086,0.170336,0.25226,0.337851,0.299319,0.161213,0.302325
221,0.188642,0.1876,0.167444,0.243334,0.218086,0.170336,0.25226,0.337851,0.299319,0.161213,0.313911
222,0.203902,0.1876,0.167444,0.243334,0.218086,0.170336,0.25226,0.337851,0.299319,0.161213,0.313911
223,0.203902,0.1876,0.167444,0.243334,0.218086,0.170336,0.25226,0.337851,0.299319,0.161213,0.302987
224,0.203902,0.194329,0.167444,0.243334,0.218086,0.170336,0.25226,0.337851,0.299319,0.161213,0.302987
225,0.203902,0.194329,0.167444,0.243334,0.218086,0.170336,0.25226,0.337851,0.291384,0.161213,0.302987
226,0.217274,0.194329,0.167444,0.243334,0.218086,0.170336,0.25226,0.337851,0.291384,0.161213,0.302987
227,0.217274,0.194329,0.167444,0.231077,0.218086,0.170336,0.25226,0.337851,0.291384,0.161213,0.302987
228,0.217274,0.194329,0.167444,0.231077,0.223722,0.170336,0.25226,0.337851,0.291384,0.161213,0.302987
229,0.223304,0.194329,0.167444,0.231077,0.223722,0.170336,0.25226,0.337851,0.291384,0.161213,0.302987
230,0.223304,0.194329,0.167444,0.231077,0.223722,0.170336,0.274068,0.337851,0.291384,0.161213,0.302987
231,0.223304,0.194329,0.167444,0.231077,0.223722,0.170336,0.264395,0.337851,0.291384,0.161213,0.302987
232,0.223304,0.185218,0.167444,0.231077,0.223722,0.170336,0.264395,0.337851,0.291384,0.161213,0.302987
233,0.223304,0.185218,0.158146,0.231077,0.223722,0.170336,0.264395,0.337851,0.291384,0.161213,0.302987
234,0.223304,0.185218,0.158146,0.231077,0.223722,0.170336,0.264395,0.337851,0.302961,0.161213,0.302987
235,0.223304,0.185218,0.158146,0.231077,0.223722,0.170336,0.264395,0.337851,0.302961,0.161213,0.299422
236,0.223304,0.185218,0.158146,0.231077,0.223722,0.170336,0.264395,0.337851,0.302297,0.161213,0.299422
